Year,Percent wild habitat
1961,65.82
1962,65.74
1963,65.66
1964,65.59
1965,65.49
1966,65.4
1967,65.31
1968,65.23
1969,65.07
1970,65.01
1971,64.9
1972,64.78
1973,64.66
1974,64.55
1975,64.5
1976,64.5
1977,64.46
1978,64.43
1979,64.34
1980,64.27
1981,64.23
1982,64.15
1983,64.03
1984,63.89
1985,63.64
1986,63.46
1987,63.34
1988,63.17
1989,63.07
1990,62.97
1991,62.92
1992,62.48
1993,62.25
1994,62.12
1995,62.16
1996,62.16
1997,62.11
1998,62.05
1999,62.13
2000,62.06
2001,62.05
2002,62.13
2003,62.26
2004,62.11
2005,62.16
2006,62.2
2007,62.31
2008,62.26
2009,62.34
2010,62.36
2011,62.23
