Year,SR_weighted
900,0.998504614
1000,0.997416322
1100,0.99490595
1200,0.993092734
1300,0.992052978
1400,0.991645773
1500,0.989905667
1600,0.988809172
1700,0.986426399
1710,0.98575857
1720,0.985199469
1730,0.984667293
1740,0.984167283
1750,0.983453975
1760,0.982808904
1770,0.982098144
1780,0.981275798
1790,0.980417771
1800,0.979380522
1810,0.978284854
1820,0.977185674
1830,0.975809652
1840,0.974068278
1850,0.972389303
1860,0.970361353
1870,0.968556307
1880,0.965636074
1890,0.962729098
1900,0.959626039
1910,0.955588707
1920,0.952038475
1930,0.947631629
1940,0.942936273
1950,0.936973259
1960,0.929402589
1970,0.924400183
1980,0.921030403
1990,0.91733909
2000,0.91569477
2001,0.91530049
2002,0.915192399
2003,0.91475357
2004,0.914434517
2005,0.914206129
2006,0.914098129
2007,0.914050918
2008,0.913794636
2009,0.913503366
2010,0.912934653
2011,0.912249686
2012,0.91175197
2013,0.911305817
2014,0.910624097
