Year,Sum_of_Mean_Extent(millionsqkm)
1979,24.63583333
1980,24.14916667
1981,24.14666667
1982,24.64833333
1983,24.245
1984,23.965
1985,24.1675
1986,23.875
1987,23.6225
1988,24.1225
1989,23.915
1990,23.6675
1991,23.825
1992,24.03916667
1993,23.87833333
1994,24.3025
1995,23.74833333
1996,24.13083333
1997,23.62583333
1998,24.0325
1999,24.00166667
2000,23.82
2001,23.76916667
2002,23.1175
2003,23.91916667
2004,23.70416667
2005,23.19166667
2006,22.77583333
2007,22.72
2008,23.81083333
2009,23.5975
2010,23.35
2011,22.56416667
2012,23.07666667
2013,23.94083333
