Year,TEffort
1950,2139641436
1951,2134561174
1952,2180424802
1953,2234864937
1954,2291043130
1955,2380787634
1956,2424117931
1957,2466989502
1958,2553161010
1959,2591582705
1960,2734049204
1961,2777437983
1962,2890451444
1963,2986126658
1964,3037731445
1965,3041630266
1966,3204748544
1967,3203771269
1968,3261186580
1969,3470591043
1970,3484373645
1971,3686617085
1972,3861378733
1973,3912172585
1974,4030435497
1975,4214627724
1976,4374856116
1977,4590856194
1978,4728546574
1979,4841862453
1980,5031866423
1981,5115586293
1982,5250498367
1983,6113955358
1984,6769802973
1985,6008750634
1986,6495723055
1987,6967217354
1988,7456819992
1989,8002713425
1990,9278922687
1991,10090735403
1992,10617263907
1993,10727686945
1994,11255881573
1995,10983283099
1996,12649767332
1997,13358000581
1998,14777735237
1999,15134072262
2000,14990701489
2001,16410157786
2002,16831919269
2003,16950646666
2004,17432882271
2005,19162654298
2006,19451660300
