Year,Percentage of countries
1967,0.526315789
1968,0.526315789
1969,0.526315789
1970,0.526315789
1971,0.526315789
1972,0.526315789
1973,1.578947368
1974,2.105263158
1975,3.684210526
1976,4.210526316
1977,4.736842105
1978,4.736842105
1979,4.736842105
1980,5.263157895
1981,6.842105263
1982,6.842105263
1983,7.894736842
1984,8.947368421
1985,8.947368421
1986,10.52631579
1987,11.05263158
1988,11.57894737
1989,12.10526316
1990,12.63157895
1991,13.68421053
1992,16.31578947
1993,18.42105263
1994,22.10526316
1995,24.21052632
1996,26.84210526
1997,29.47368421
1998,32.10526316
1999,36.84210526
2000,38.42105263
2001,41.05263158
2002,44.73684211
2003,46.31578947
2004,49.47368421
2005,52.10526316
2006,53.15789474
2007,54.21052632
2008,55.26315789
2009,55.26315789
