Year,Data
1968,120.0721482
1969,118.2666797
1970,116.9058405
1971,114.4151635
1972,112.7414003
1973,111.3510655
1974,109.0880133
1975,108.1423483
1976,106.1787833
1977,104.2945898
1978,99.98891761
1979,101.2529529
1980,100.0000021
1981,100.3931972
1982,96.26388996
1983,93.31343342
1984,91.65553713
1985,87.68222095
1986,84.82842649
1987,87.93438435
1988,87.11603589
1989,89.14770807
1990,86.62944233
1991,87.13923689
1992,87.49299886
1993,86.4570519
1994,85.99130911
1995,80.56443895
1996,79.39403314
1997,81.93914141
1998,79.44505281
1999,79.36027353
2000,77.95593569
2001,76.66301898
2002,76.16938482
2003,78.06448882
2004,79.29225211
2005,79.71450853
2006,78.9347632
2007,78.30911051
2008,77.73525871
2009,77.39448164
2010,77.13932943
2011,76.84428844
